date,total_value,eq,year,daily_ret
2023-03-16,916958.5183000052,1.0,2023,-0.010432798017365519
2023-03-17,920135.9183000053,1.0,2023,0.0034651512981096477
2023-03-20,915823.7183000053,1.0,2023,-0.004686481544994958
2023-03-21,930278.3183000053,1.0,2023,0.015783168432055072
2023-03-22,938332.9183000053,1.0,2023,0.008658269080933811
2023-03-23,950747.9183000053,1.0,2023,0.013230911713608462
2023-03-24,954117.3183000053,1.0,2023,0.003543946755123706
2023-03-27,950391.4183000053,1.0,2023,-0.003905075328303087
2023-03-28,949349.6183000053,1.0,2023,-0.0010961799316995258
2023-03-29,953427.2183000052,1.0,2023,0.004295151039615419
2023-03-30,959318.6183000053,1.0,2023,0.006179181679441426
2023-03-31,964181.4183000054,1.0,2023,0.005069014514299086
2023-04-03,974860.9183000054,1.0,2023,0.011076235029326309
2023-04-04,985843.1437000054,1.0,2023,0.011265427912682258
2023-04-06,1024996.4437000054,1.0,2023,0.03971554729594429
2023-04-07,1035520.7437000055,1.0,2023,0.010267645380319212
2023-04-10,1000907.1437000055,1.0,2023,-0.033426273892227965
2023-04-11,1000812.9437000054,1.0,2023,-9.411462451136554e-05
2023-04-12,1018458.1437000055,1.0,2023,0.01763086709766748
2023-04-13,979711.1437000055,1.0,2023,-0.03804476427399772
2023-04-14,1019035.2437000055,1.0,2023,0.04013846351842787
2023-04-17,1009914.9437000055,1.0,2023,-0.008949935791116581
2023-04-18,995060.8437000053,1.0,2023,-0.014708268347411013
2023-04-19,992552.9437000054,1.0,2023,-0.0025203483946515393
2023-04-20,1018295.7437000056,1.0,2023,0.025935946453432557
2023-04-21,965017.4437000055,1.0,2023,-0.05232104752437816
2023-04-24,942122.9437000054,1.0,2023,-0.023724441614464076
2023-04-25,917687.5437000054,1.0,2023,-0.02593653000746876
2023-04-26,893391.1437000055,1.0,2023,-0.02647567809631557
2023-04-27,891081.1437000055,1.0,2023,-0.0025856535698720595
2023-04-28,905478.1437000054,1.0,2023,0.01615677775451485
2023-05-04,881199.3865000055,0.0,2023,-0.02681318965998558
2023-05-05,881530.2465000056,0.0,2023,0.0003754655360284076
2023-05-08,881101.4465000055,0.0,2023,-0.0004864268715708553
2023-05-09,881423.0465000055,0.0,2023,0.0003649976983666203
2023-05-10,882562.0465000056,0.0,2023,0.0012922285212793039
2023-05-11,883754.6465000056,0.0,2023,0.0013512930957426672
2023-05-12,883278.9465000057,0.0,2023,-0.0005382715687933803
2023-05-15,883747.9465000055,0.0,2023,0.0005309760884240067
2023-05-16,883278.9465000057,0.0,2023,-0.0005306943024392385
2023-05-17,883198.5465000056,0.0,2023,-9.10244723013598e-05
2023-05-18,882930.5465000055,0.0,2023,-0.00030344252836711494
2023-05-19,883506.7465000056,0.0,2023,0.0006525994624200226
2023-05-22,884585.4465000055,0.0,2023,0.001220930122235231
2023-05-23,886762.9465000054,0.0,2023,0.002461605047443971
2023-05-24,886247.0465000055,0.0,2023,-0.0005817789320541333
2023-05-25,885154.9465000057,0.0,2023,-0.00123227491060518
2023-05-26,885114.7465000056,0.0,2023,-4.541577738337299e-05
2023-05-29,885315.7465000056,0.0,2023,0.00022708920034930635
2023-05-30,886025.9465000055,0.0,2023,0.0008021996703522216
2023-05-31,886481.5465000055,0.0,2023,0.0005142061604399562
2023-06-01,887205.1465000055,0.0,2023,0.0008162606462107647
2023-06-02,886012.5465000055,0.0,2023,-0.001344221237562393
2023-06-05,886890.2465000055,0.0,2023,0.0009906180261973763
2023-06-06,887218.5465000055,0.0,2023,0.00037016981672266525
2023-06-07,888056.0465000055,0.0,2023,0.0009439613309525363
2023-06-08,887654.0465000055,0.0,2023,-0.0004526741319811345
2023-06-09,888169.9465000055,0.0,2023,0.0005811948946035095
2023-06-12,888665.7465000056,0.0,2023,0.0005582264992796127
2023-06-13,889643.9465000055,0.0,2023,0.0011007513273157965
2023-06-14,890280.4465000055,0.0,2023,0.0007154547642391762
2023-06-15,887948.8465000056,0.0,2023,-0.0026189500276753153
2023-06-16,886079.5465000054,0.0,2023,-0.0021051888375871464
2023-06-19,886334.1465000055,0.0,2023,0.00028733311925077665
2023-06-20,886508.3465000056,0.0,2023,0.00019653987233581027
2023-06-21,887432.9465000057,0.0,2023,0.0010429681837180738
2023-06-26,887962.2465000055,0.0,2023,0.0005964394291280151
2023-06-27,887453.0465000055,0.0,2023,-0.0005734478036729662
2023-06-28,887600.4465000054,0.0,2023,0.00016609329426642283
2023-06-29,887372.6465000055,0.0,2023,-0.00025664700924632466
2023-06-30,888565.2465000055,0.0,2023,0.00134396750305954
2023-07-03,888967.2465000056,0.8,2023,0.00045241472315460385
2023-07-04,890387.1634000055,0.8,2023,0.0015972657098339837
2023-07-05,882261.8634000056,0.8,2023,-0.009125580796754629
2023-07-06,881644.8634000056,0.8,2023,-0.0006993388534581868
2023-07-07,877869.7634000056,0.8,2023,-0.004281882826880579
2023-07-10,877673.9634000056,0.8,2023,-0.00022303991795058487
2023-07-11,885664.8634000057,0.8,2023,0.009104633762911707
2023-07-12,871887.5634000057,0.8,2023,-0.01555588413783282
2023-07-13,882809.3634000056,0.8,2023,0.012526615194979218
2023-07-14,886185.4634000057,0.8,2023,0.003824268454740487
2023-07-17,886491.8634000056,0.8,2023,0.00034575155275540226
2023-07-18,882731.6634000057,0.8,2023,-0.004241663296917664
2023-07-19,880367.9634000057,0.8,2023,-0.002677710676986189
2023-07-20,865747.0634000056,0.8,2023,-0.016607714737294388
2023-07-21,862425.5634000056,0.8,2023,-0.0038365709113186153
2023-07-24,866654.7634000056,0.8,2023,0.004903843507753747
2023-07-25,874197.8634000056,0.8,2023,0.008703696464330779
2023-07-26,868888.1634000055,0.8,2023,-0.006073796588050628
2023-07-27,865346.0634000057,0.8,2023,-0.004076589081544624
2023-07-28,870586.2634000055,0.8,2023,0.006055611993438514
2023-07-31,874315.4634000056,0.8,2023,0.004283550242839773
2023-08-01,879371.0634000056,1.0,2023,0.005782352264867896
2023-08-02,877652.1488000058,1.0,2023,-0.0019547090773646136
2023-08-03,894804.6488000057,1.0,2023,0.01954361989935549
2023-08-04,900782.9488000057,1.0,2023,0.006681123089846919
2023-08-07,898090.7488000058,1.0,2023,-0.0029887333053832954
2023-08-08,893873.3488000056,1.0,2023,-0.004695961967802531
2023-08-09,891251.3488000057,1.0,2023,-0.0029333014610177788
2023-08-10,899209.5488000057,1.0,2023,0.008929243148652732
2023-08-11,870372.4488000057,1.0,2023,-0.03206938809589277
2023-08-14,861380.6488000057,1.0,2023,-0.010330979585115752
2023-08-15,865729.0488000057,1.0,2023,0.00504817470192509
2023-08-16,862843.5488000057,1.0,2023,-0.0033330289702068194
2023-08-17,864592.9488000057,1.0,2023,0.0020274822735049103
2023-08-18,851402.0488000057,1.0,2023,-0.015256774900035963
2023-08-21,832008.5488000058,1.0,2023,-0.022778310232320576
2023-08-22,839299.6488000057,1.0,2023,0.008763251303746555
2023-08-23,822105.3488000057,1.0,2023,-0.020486485398371834
2023-08-24,829855.6488000057,1.0,2023,0.00942738058001047
2023-08-25,830686.6488000057,1.0,2023,0.0010013789762131076
2023-08-28,844397.0488000057,1.0,2023,0.01650489991599824
2023-08-29,847800.3488000056,1.0,2023,0.004030449898938526
2023-08-30,836978.7488000056,1.0,2023,-0.012764325958720235
2023-08-31,827553.1488000057,1.0,2023,-0.011261456773560496
2023-09-01,830536.0488000057,0.3,2023,0.0036044814817337567
2023-09-04,833785.6746000058,0.3,2023,0.0039126848313151275
2023-09-05,832889.4746000058,0.3,2023,-0.0010748565576279567
2023-09-06,833187.4746000058,0.3,2023,0.0003577905701630524
2023-09-07,830080.174600006,0.3,2023,-0.0037294127609054373
2023-09-08,828032.0746000058,0.3,2023,-0.0024673520253476466
2023-09-11,830040.3746000058,0.3,2023,0.0024253891384222737
2023-09-12,828567.7746000058,0.3,2023,-0.0017741305664915608
2023-09-13,830472.6746000058,0.3,2023,0.002299027380010754
2023-09-14,834582.5746000058,0.3,2023,0.004948868428427788
2023-09-15,831677.5746000059,0.3,2023,-0.003480781996187954
2023-09-18,833669.8746000058,0.3,2023,0.0023955196831633163
2023-09-19,832913.5746000058,0.3,2023,-0.0009071936302879058
2023-09-20,831124.5746000059,0.3,2023,-0.00214788191062798
2023-09-21,828471.4746000058,0.3,2023,-0.003192180908953346
2023-09-22,828955.2746000058,0.3,2023,0.0005839669980594042
2023-09-25,828948.1746000058,0.3,2023,-8.564997675430952e-06
2023-09-26,825194.9746000058,0.3,2023,-0.0045276654379643455
2023-09-27,823634.5746000058,0.3,2023,-0.0018909470464921752
2023-09-28,825185.3746000058,0.3,2023,0.001882873847000921
2023-10-09,826366.2746000059,0.0,2023,0.0014310723824602078
2023-10-10,825285.2513000059,0.0,2023,-0.00130816483347318
2023-10-11,823797.2513000058,0.0,2023,-0.0018030129554068575
2023-10-12,823679.4513000058,0.0,2023,-0.0001429963499078868
2023-10-13,824355.2513000058,0.0,2023,0.0008204648045224694
2023-10-16,824442.0513000059,0.0,2023,0.00010529441022311126
2023-10-17,824039.051300006,0.0,2023,-0.0004888154350743967
2023-10-18,823884.0513000059,0.0,2023,-0.00018809788171514352
2023-10-19,822427.0513000059,0.0,2023,-0.0017684527303338804
2023-10-20,823059.4513000059,0.0,2023,0.000768943578643766
2023-10-23,823815.8513000059,0.0,2023,0.0009190101623950397
2023-10-24,823431.4513000059,0.0,2023,-0.0004666091328461297
2023-10-25,824386.2513000058,0.0,2023,0.0011595379293474206
2023-10-26,825353.4513000059,0.0,2023,0.0011732364513294957
2023-10-27,824981.4513000059,0.0,2023,-0.0004507159925412063
2023-10-30,826072.651300006,0.0,2023,0.001322696405210655
2023-10-31,826320.651300006,0.0,2023,0.0003002157251057458
2023-11-01,826488.0513000059,0.3,2023,0.0002025847953051052
2023-11-02,826620.1165000059,0.3,2023,0.00015979081584105437
2023-11-03,826564.3165000058,0.3,2023,-6.750380118547561e-05
2023-11-06,826334.916500006,0.3,2023,-0.00027753436171928936
2023-11-07,826551.9165000059,0.3,2023,0.0002626053863474809
2023-11-08,826632.516500006,0.3,2023,9.751353592091228e-05
2023-11-09,826675.9165000058,0.3,2023,5.250216890040349e-05
2023-11-10,826706.916500006,0.3,2023,3.749958040577539e-05
2023-11-13,827686.5165000058,0.3,2023,0.001184942305971104
2023-11-14,827618.3165000059,0.3,2023,-8.239834604084617e-05
2023-11-15,827599.7165000058,0.3,2023,-2.247412802403037e-05
2023-11-16,828070.916500006,0.3,2023,0.0005693573724179224
2023-11-17,828145.3165000059,0.3,2023,8.984737722017577e-05
2023-11-20,827711.3165000058,0.3,2023,-0.0005240626148008687
2023-11-21,827333.1165000059,0.3,2023,-0.00045692259180296624
2023-11-22,826396.9165000059,0.3,2023,-0.0011315877260669183
2023-11-23,825373.9165000059,0.3,2023,-0.0012379039412836468
2023-11-24,825969.1165000059,0.3,2023,0.0007211277072141087
2023-11-27,825851.3165000059,0.3,2023,-0.00014262034457079853
2023-11-28,825776.9165000059,0.3,2023,-9.008885560091162e-05
2023-11-29,825479.3165000059,0.3,2023,-0.00036038788933623334
2023-11-30,826062.1165000058,0.3,2023,0.000706014055531945
2023-12-01,826675.9165000058,0.0,2023,0.0007430433955748494
2023-12-04,826086.9165000058,0.0,2023,-0.000712492027702627
2023-12-05,826000.1165000059,0.0,2023,-0.00010507368930079419
2023-12-06,825888.516500006,0.0,2023,-0.00013510893978185834
2023-12-07,826328.7165000059,0.0,2023,0.0005330017202145321
2023-12-08,826737.9165000059,0.0,2023,0.0004952024440505465
2023-12-11,827884.916500006,0.0,2023,0.0013873804226325337
2023-12-12,827810.516500006,0.0,2023,-8.986756313256183e-05
2023-12-13,828938.9165000059,0.0,2023,0.001363113873898092
2023-12-14,828170.1165000059,0.0,2023,-0.0009274507260993436
2023-12-15,828895.5165000058,0.0,2023,0.0008759069973034439
2023-12-18,829558.9165000059,0.0,2023,0.0008003421261115751
2023-12-19,829478.3165000058,0.0,2023,-9.716006711146807e-05
