date,total_value,eq,year,daily_ret
2019-05-08,1037760.501500001,0.4,2019,-0.00537365942876078
2019-05-09,1030792.201500001,0.4,2019,-0.006714747757240569
2019-05-10,1044699.7015000011,0.4,2019,0.013492050075429418
2019-05-13,1039704.5015000012,0.4,2019,-0.004781469730323229
2019-05-14,1036636.2015000011,0.4,2019,-0.0029511269746099744
2019-05-15,1047980.4015000011,0.4,2019,0.010943279796311378
2019-05-16,1051548.601500001,0.4,2019,0.0034048346656985196
2019-05-17,1042136.8015000012,0.4,2019,-0.008950418446255548
2019-05-20,1036436.201500001,0.4,2019,-0.005470107179590067
2019-05-21,1040535.601500001,0.4,2019,0.003955284458480923
2019-05-22,1038106.4015000011,0.4,2019,-0.002334566925435433
2019-05-23,1030736.1015000012,0.4,2019,-0.0070997539263318865
2019-05-24,1031220.7015000011,0.4,2019,0.0004701494391190497
2019-05-27,1036225.4015000011,0.4,2019,0.004853180306330307
2019-05-28,1039375.0015000011,0.4,2019,0.0030394931406243497
2019-05-29,1040152.1015000012,0.4,2019,0.0007476608527996476
2019-05-30,1039911.3015000011,0.4,2019,-0.0002315046036562851
2019-05-31,1039448.7015000011,0.4,2019,-0.0004448456318656424
2019-06-03,1039834.3015000011,0.4,2019,0.0003709658778192626
2019-06-04,1034339.2435000013,0.4,2019,-0.0052845515791054565
2019-06-05,1032315.9435000012,0.4,2019,-0.0019561280428204153
2019-06-06,1028019.3435000011,0.4,2019,-0.004162097880066384
2019-06-10,1033051.0435000013,0.4,2019,0.004894557706345504
2019-06-11,1045248.5435000012,0.4,2019,0.01180725780855374
2019-06-12,1042368.8435000012,0.4,2019,-0.0027550385196972726
2019-06-13,1041761.6435000013,0.4,2019,-0.000582519329684783
2019-06-14,1039819.3435000012,0.4,2019,-0.0018644380047191378
2019-06-17,1039904.3435000012,0.4,2019,8.174496900004158e-05
2019-06-18,1041358.9435000012,0.4,2019,0.0013987825025369993
2019-06-19,1047000.3435000012,0.4,2019,0.005417344360667098
2019-06-20,1058120.2435000013,0.4,2019,0.01062072239902756
2019-06-21,1059735.3435000014,0.4,2019,0.0015263860699401555
2019-06-24,1060085.7435000013,0.4,2019,0.0003306485927350167
2019-06-25,1056694.6435000012,0.4,2019,-0.003198892184705704
2019-06-26,1056849.4435000012,0.4,2019,0.00014649454405035733
2019-06-27,1061344.1435000012,0.4,2019,0.004252923656859586
2019-06-28,1060960.4435000012,0.4,2019,-0.0003615226996350751
2019-07-01,1072883.3435000011,1.0,2019,0.011237836502808296
2019-07-02,1072803.8378000013,1.0,2019,-7.410470157964699e-05
2019-07-03,1063709.9378000011,1.0,2019,-0.008476759384687726
2019-07-04,1055917.7378000012,1.0,2019,-0.007325493278850126
2019-07-05,1063513.137800001,1.0,2019,0.007193173983254475
2019-07-08,1041563.5378000012,1.0,2019,-0.02063876713869761
2019-07-09,1039645.4378000012,1.0,2019,-0.0018415583211096598
2019-07-10,1038727.2378000012,1.0,2019,-0.0008831857156446077
2019-07-11,1038980.6378000012,1.0,2019,0.0002439523974904212
2019-07-12,1047516.6378000012,1.0,2019,0.008215745019151344
2019-07-15,1050520.9378000011,1.0,2019,0.002868021272014909
2019-07-16,1045363.5378000012,1.0,2019,-0.0049093738300928225
2019-07-17,1044454.2378000012,1.0,2019,-0.0008698409377408955
2019-07-18,1036507.6378000011,1.0,2019,-0.007608375467687778
2019-07-19,1047035.2378000012,1.0,2019,0.010156799251711313
2019-07-22,1040109.7378000012,1.0,2019,-0.00661439056678903
2019-07-23,1040769.4378000014,1.0,2019,0.000634259997791764
2019-07-24,1048043.4378000011,1.0,2019,0.006989059954888521
2019-07-25,1056851.137800001,1.0,2019,0.008403945564020354
2019-07-26,1058306.837800001,1.0,2019,0.001377393606284194
2019-07-29,1058423.8378000013,1.0,2019,0.00011055394883729974
2019-07-30,1062232.4378000014,1.0,2019,0.0035983694470793637
2019-07-31,1053566.9378000011,1.0,2019,-0.008157819034360747
2019-08-01,1044525.8378000013,0.7,2019,-0.008581419628523101
2019-08-02,1033066.9340000014,0.7,2019,-0.010970435948367552
2019-08-05,1023601.8340000012,0.7,2019,-0.00916213624547213
2019-08-06,1017558.7340000015,0.7,2019,-0.005903760426439142
2019-08-07,1011301.0340000014,0.7,2019,-0.006149718724737574
2019-08-08,1022339.5340000011,0.7,2019,0.010915147546462167
2019-08-09,1015039.0340000014,0.7,2019,-0.007140973969221198
2019-08-12,1028129.7340000013,0.7,2019,0.012896745407329657
2019-08-13,1023436.5340000014,0.7,2019,-0.004564793571080528
2019-08-14,1029369.5340000014,0.7,2019,0.005797135242779916
2019-08-15,1030505.6340000014,0.7,2019,0.0011036852777108752
