factor,horizon_days,market_state,weeks,mean_rank_ic,ic_t_stat,top_minus_bottom_return,top_minus_bottom_hit_rate
momentum_20,5,range,27,0.15045039727053006,1.955040635251712,0.012755757390529011,0.6296296296296297
momentum_20,5,range_high_vol,17,-0.1088235294117647,-1.0093240079101216,-0.012949026959416333,0.29411764705882354
momentum_20,20,all,172,-0.0075923392612859035,-0.2336752181534833,-0.0010215665725150814,0.5
momentum_20,20,bear,40,-0.013897058823529406,-0.226726905261593,-0.00665616416112679,0.55
momentum_20,20,bear_high_vol,30,-0.12264705882352941,-1.5044351253982036,-0.019213612139715976,0.4
momentum_20,20,bull,29,-0.07809330628803245,-0.8620871563684654,0.0006508885124815925,0.3793103448275862
momentum_20,20,bull_high_vol,29,0.14908722109533468,1.9367587732107914,0.019738008639922987,0.5517241379310345
momentum_20,20,range,27,0.07374727668845316,1.001619409057081,0.004817453888965469,0.5925925925925926
momentum_20,20,range_high_vol,17,-0.06591695501730103,-0.6697651785098705,-0.003200223073990796,0.5294117647058824
momentum_60,5,all,172,-0.020188229582209283,-0.6127434695944232,-0.001260086966117786,0.46511627906976744
momentum_60,5,bear,40,0.00985446172891876,0.18792493269279065,0.002785751058403404,0.5
momentum_60,5,bear_high_vol,30,-0.07258145806007084,-0.8573803851525101,-0.00909171293664961,0.4
momentum_60,5,bull,29,-0.02733284384028877,-0.3435845597110922,-0.004628417185736702,0.4827586206896552
momentum_60,5,bull_high_vol,29,-0.05476673427991887,-0.5674595214869219,0.0024815461118733633,0.4827586206896552
momentum_60,5,range,27,0.07605712058791682,0.9367424818174073,0.004508193241751196,0.5555555555555556
momentum_60,5,range_high_vol,17,-0.08010380622837371,-0.6955913804413486,-0.006757386399656031,0.29411764705882354
momentum_60,20,all,172,-0.003642270861833113,-0.12257753847569924,0.0017959753840616044,0.48255813953488375
momentum_60,20,bear,40,-0.05125,-0.9736563816026849,0.0018990442045906234,0.475
momentum_60,20,bear_high_vol,30,-0.03676470588235294,-0.4976354996606989,-0.0017752248393717474,0.43333333333333335
momentum_60,20,bull,29,-0.04016227180527382,-0.5675327245594051,-0.013311032967688378,0.3793103448275862
momentum_60,20,bull_high_vol,29,0.03427991886409736,0.39511420031750677,0.009504746319150065,0.4827586206896552
momentum_60,20,range,27,0.09869281045751632,1.430842108496286,0.009337488543543139,0.5555555555555556
momentum_60,20,range_high_vol,17,0.0019031141868511977,0.01845568743159683,0.008498403834592327,0.6470588235294118
