date,code,market_state,reversal_5,momentum_20,momentum_60,momentum_120,low_volatility_20,drawdown_20,forward_return_5,forward_return_20
2024-08-23,512000,bear,0.020539152759948665,-0.0052151238591916504,-0.05217391304347829,-0.12899543378995437,-0.015548864251596942,-0.053349875930521096,0.022280471821756187,0.08781127129750965
2024-08-23,515030,bear,0.025302530253025313,-0.0875386199794026,-0.18864468864468875,-0.19381255686988164,-0.012838887425171662,-0.09128205128205125,0.04966139954853288,0.08126410835214437
2024-08-23,159875,bear,0.03282828282828287,-0.0771084337349397,-0.17811158798283266,-0.1868365180467091,-0.010395727140281832,-0.0771084337349397,0.044386422976501416,0.03394255874673635
2024-08-23,512660,bear,0.028037383177570097,-0.07039106145251406,-0.07142857142857151,-0.05775764439411102,-0.014340213227101654,-0.0976138828633406,0.013221153846153966,-0.013221153846153855
2024-08-23,512690,bear,0.04107142857142865,-0.04618117229129648,-0.2008928571428571,-0.1997019374068555,-0.013406272088393904,-0.07573149741824425,0.01862197392923659,-0.013035381750465591
2024-08-23,159928,bear,0.044117647058823595,-0.05672823218997369,-0.17436489607390304,-0.1568396226415094,-0.01297358705003311,-0.07383419689119175,0.009790209790209836,-0.004195804195804231
2024-08-23,512010,bear,0.03647416413373861,-0.03353658536585369,-0.1019830028328611,-0.16358839050131924,-0.013950229088694904,-0.062130177514792995,0.018927444794952786,0.0
2024-08-23,159801,bear,0.043165467625899234,-0.08695652173913038,-0.0315533980582523,-0.08695652173913038,-0.01631897859203236,-0.11529933481152987,0.027568922305764243,-0.03258145363408527
2024-08-23,512890,bear,0.0029041626331073322,0.013779527559055094,-0.048938134810710965,0.02589641434262946,-0.007170004245135673,-0.01717557251908397,-0.026213592233009786,-0.01456310679611661
2024-08-23,510880,bear,0.011950904392764805,-0.002608412129116444,-0.06338028169014076,-0.017030848329048776,-0.006770734565220242,-0.021433141394753608,-0.022556390977443552,-0.006538084341287997
2024-08-23,168204,bear,0.04422332780541727,-0.028651685393258353,-0.17272727272727262,-0.1647342995169081,-0.01261059471989334,-0.04580573951434874,0.0277617119722382,0.050318102949681975
2024-08-23,512400,bear,0.0021762785636560977,-0.019251336898395754,-0.14299065420560753,-0.019251336898395754,-0.014221718301067027,-0.04578563995837659,0.004362050163576825,0.017448200654307522
2024-08-30,512480,bear,-0.03186646433990892,-0.06721536351165969,-0.03271692745376942,-0.05424200278164104,-0.012737087468127793,-0.02857142857142847,-0.05441176470588238,0.2838235294117646
2024-08-30,159995,bear,-0.026217228464419318,-0.07013574660633493,-0.02491103202846978,-0.05299539170506917,-0.012292863138944564,-0.03180212014134276,-0.05474452554744513,0.3004866180048662
2024-08-30,512760,bear,-0.029451137884872747,-0.06787878787878776,-0.03270440251572326,-0.061050061050060944,-0.01243261359682864,-0.03148614609571787,-0.054616384915474714,0.28608582574772434
2024-08-30,515050,bear,-0.0066006600660066805,-0.035827186512117914,-0.039874081846799525,0.0,-0.012629469153293292,-0.014008620689655138,-0.059016393442622994,0.3103825136612022
2024-08-30,512000,bear,-0.022280471821756187,-0.006369426751592355,-0.008894536213468918,-0.0866510538641686,-0.009533516773278787,-0.005102040816326481,-0.002564102564102555,0.5410256410256409
2024-08-30,515030,bear,-0.04966139954853288,-0.016913319238900493,-0.1460055096418732,-0.13165266106442564,-0.012253855733560545,-0.010638297872340274,-0.010752688172043001,0.4161290322580644
