date,total_value,cash,positions,is_rebalance,market_mode,nav,daily_return,benchmark
2021-09-07,1280637.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2806374571000028,-0.0007640350135709184,1.2246131528046422
2021-09-08,1280280.457100003,6371.857100002933,{'511010': 10200},False,bear,1.280280457100003,-0.0002787674201003565,1.2195357833655704
2021-09-09,1280423.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.280423257100003,0.00011153806121777521,1.2190522243713733
2021-09-10,1280402.857100003,6371.857100002933,{'511010': 10200},True,bear,1.280402857100003,-1.5932231695159338e-05,1.230899419729207
2021-09-13,1279933.657100003,6371.857100002933,{'511010': 10200},False,bear,1.279933657100003,-0.0003664471673100467,1.2243713733075434
2021-09-14,1279250.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2792502571000028,-0.0005339339240040264,1.208413926499033
2021-09-15,1279484.857100003,6371.857100002933,{'511010': 10200},False,bear,1.279484857100003,0.00018338866746225868,1.1955996131528046
2021-09-16,1277801.857100003,6371.857100002933,{'511010': 10200},False,bear,1.277801857100003,-0.0013153731290065362,1.1820599613152805
2021-09-17,1278903.4571000028,6371.857100002933,{'511010': 10200},True,bear,1.2789034571000029,0.000862105493022236,1.1914893617021276
2021-09-22,1279546.057100003,6371.857100002933,{'511010': 10200},False,bear,1.2795460571000028,0.0005024616959414807,1.1835106382978722
2021-09-23,1281229.057100003,6371.857100002933,{'511010': 10200},False,bear,1.281229057100003,0.001315310215416865,1.190522243713733
2021-09-24,1281116.857100003,6371.857100002933,{'511010': 10200},True,bear,1.281116857100003,-8.757216313370897e-05,1.1922147001934236
2021-09-27,1281076.057100003,6371.857100002933,{'511010': 10200},False,bear,1.2810760571000028,-3.18472118869817e-05,1.1999516441005802
2021-09-28,1281259.657100003,6371.857100002933,{'511010': 10200},False,bear,1.281259657100003,0.00014331701773873107,1.1977756286266923
2021-09-29,1284340.057100003,6371.857100002933,{'511010': 10200},False,bear,1.284340057100003,0.0024041965131191834,1.189796905222437
2021-09-30,1284931.657100003,6371.857100002933,{'511010': 10200},False,bear,1.284931657100003,0.0004606256705375067,1.1931818181818181
2021-10-08,1282881.4571000028,6371.857100002933,{'511010': 10200},True,bear,1.282881457100003,-0.0015955712419967183,1.210348162475822
2021-10-11,1281269.857100003,6371.857100002933,{'511010': 10200},False,bear,1.281269857100003,-0.0012562345422335586,1.2101063829787233
2021-10-12,1279393.057100003,6371.857100002933,{'511010': 10200},False,bear,1.279393057100003,-0.0014647968104454234,1.197533849129594
2021-10-13,1278923.857100003,6371.857100002933,{'511010': 10200},False,bear,1.278923857100003,-0.00036673639691575666,1.211073500967118
2021-10-14,1279219.657100003,6371.857100002933,{'511010': 10200},False,bear,1.279219657100003,0.00023128820246642867,1.2045454545454546
2021-10-15,1279025.857100003,6371.857100002933,{'511010': 10200},True,bear,1.2790258571000028,-0.0001514986100507043,1.210348162475822
2021-10-18,1275170.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2751702571000028,-0.0030144816686834552,1.1963249516441006
2021-10-19,1275047.857100003,6371.857100002933,{'511010': 10200},False,bear,1.275047857100003,-9.59871823532632e-05,1.207688588007737
2021-10-20,1275455.857100003,6371.857100002933,{'511010': 10200},False,bear,1.275455857100003,0.0003199879892570312,1.2043036750483558
2021-10-21,1277271.457100003,6371.857100002933,{'511010': 10200},False,bear,1.277271457100003,0.0014234910521546684,1.2096228239845261
2021-10-22,1275792.457100003,6371.857100002933,{'511010': 10200},True,bear,1.275792457100003,-0.0011579370945609124,1.2176015473887813
2021-10-25,1276067.857100003,6371.857100002933,{'511010': 10200},False,bear,1.276067857100003,0.00021586583183452746,1.2217117988394584
2021-10-26,1277016.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2770164571000029,0.0007433773954275136,1.2176015473887813
2021-10-27,1277383.657100003,6371.857100002933,{'511010': 10200},False,bear,1.277383657100003,0.0002875452371491338,1.2016441005802707
2021-10-28,1277179.657100003,6371.857100002933,{'511010': 10200},False,bear,1.277179657100003,-0.00015970143258547953,1.1965667311411992
2021-10-29,1278169.0571000031,6371.857100002933,{'511010': 10200},True,bear,1.278169057100003,0.0007746756648525643,1.2043036750483558
